"Term","子罕","本姓解","Product"
"宗","0","0.0179","0.00"
"官","0","0.0546","0.00"
"定","0","0.0305","0.00"
"宜","0","0","0.00"
"客","0","0","0.00"
"宣","0","0","0.00"
"室","0.0235","0","0.00"
"宦","0","0","0.00"
"宮","0","0.0273","0.00"
"宰","0.0471","0","0.00"
"害","0","0","0.00"
"宴","0","0","0.00"
"宵","0","0","0.00"
"家","0","0.0179","0.00"
"容","0","0","0.00"
"宿","0","0","0.00"
"寄","0","0","0.00"
"密","0","0","0.00"
"寇","0","0","0.00"
"富","0","0","0.00"
"寒","0.0992","0","0.00"
"察","0","0","0.00"
"寡","0","0","0.00"
"寢","0","0","0.00"
"實","0.0570","0","0.00"
"寧","0.0570","0","0.00"
"審","0","0","0.00"
"寬","0","0","0.00"
"寮","0","0","0.00"
"寵","0","0","0.00"
"寶","0","0.0899","0.00"
"寸","0","0","0.00"
"对","0","0","0.00"
"封","0","0.0779","0.00"
"射","0.0447","0","0.00"
"将","0","0","0.00"
"專","0","0","0.00"
"尊","0","0","0.00"
"對","0","0.00884","0.00"
"小","0","0.00348","0.00"
"少","0.0646","0","0.00"
"尔","0","0","0.00"
"尚","0","0","0.00"
"尤","0","0","0.00"
"就","0","0","0.00"
"尸","0","0","0.00"
"尹","0","0","0.00"
"尺","0","0.0305","0.00"
"尼","0","0.0915","0.00"
"居","0.00747","0","0.00"
"屈","0","0","0.00"
"屏","0","0","0.00"
"展","0","0","0.00"
"屢","0","0","0.00"
"履","0","0","0.00"
"屬","0","0","0.00"
"屯","0","0","0.00"
"岁","0","0","0.00"
"岂","0","0","0.00"
"崇","0","0","0.00"
"崔","0","0","0.00"
"崩","0","0.0390","0.00"
"巍","0","0","0.00"
"川","0.0570","0","0.00"
"州","0","0","0.00"
"巢","0","0","0.00"
"工","0","0","0.00"
"左","0","0","0.00"
"巧","0","0","0.00"
"巫","0","0","0.00"
"差","0","0","0.00"
"己","0.0129","0","0.00"
"巷","0.0570","0","0.00"
"巽","0.0658","0","0.00"
"市","0","0","0.00"
"布","0","0","0.00"
"师","0","0","0.00"
"希","0","0","0.00"
"帛","0","0","0.00"
"帝","0","0.0390","0.00"
"帥","0.0781","0","0.00"
"師","0","0","0.00"
"席","0","0","0.00"
"帶","0","0","0.00"
"帷","0","0","0.00"
"常","0","0","0.00"
"幣","0","0","0.00"
"干","0","0","0.00"
"平","0.0447","0","0.00"
"年","0","0.0515","0.00"
"并","0","0","0.00"
"幸","0","0","0.00"
"幼","0","0","0.00"
"幽","0","0","0.00"
"幾","0","0","0.00"
"序","0","0","0.00"
"庚","0","0.0678","0.00"
"府","0","0","0.00"
"废","0","0","0.00"
"度","0","0","0.00"
"座","0","0","0.00"
"庭","0","0","0.00"
"庶","0","0.0305","0.00"
"康","0","0","0.00"
"庸","0","0","0.00"
"庾","0","0","0.00"
"廄","0","0","0.00"
"廉","0","0","0.00"
"廋","0","0","0.00"
"廟","0","0.0273","0.00"
"廢","0","0","0.00"
"廣","0","0","0.00"
"廬","0","0","0.00"
"延","0","0","0.00"
"廷","0","0","0.00"
"廿","0","0","0.00"
"弁","0","0","0.00"
"异","0","0","0.00"
"弈","0","0","0.00"
"弊","0","0","0.00"
"弋","0","0","0.00"
"式","0","0.0534","0.00"
"弑","0","0","0.00"
"弒","0","0","0.00"
"弓","0","0","0.00"
"弔","0","0","0.00"
"弗","0","0.0662","0.00"
"弘","0","0","0.00"
"张","0","0","0.00"
"弦","0","0","0.00"
"弱","0","0","0.00"
"張","0","0","0.00"
"強","0","0","0.00"
"强","0","0","0.00"
"彊","0","0","0.00"
"彌","0.156","0","0.00"
"归","0","0","0.00"
"当","0","0","0.00"
"彖","0","0","0.00"
"形","0","0.0534","0.00"
"彫","0.0992","0","0.00"
"彬","0","0","0.00"
"彭","0","0","0.00"
"役","0","0","0.00"
"彼","0","0","0.00"
"征","0","0.0534","0.00"
"径","0","0","0.00"
"待","0.0502","0","0.00"
"律","0","0","0.00"
"徑","0","0","0.00"
"徒","0","0","0.00"
"徙","0","0.0390","0.00"
"御","0.114","0","0.00"
"復","0","0","0.00"
"循","0.100","0","0.00"
"微","0","0.246","0.00"
"徵","0","0.135","0.00"
"徹","0","0","0.00"
"徼","0","0","0.00"
"心","0","0","0.00"
"忍","0","0","0.00"
"忘","0","0","0.00"
"忠","0.0168","0","0.00"
"忮","0.0992","0","0.00"
"念","0","0","0.00"
"忽","0.0502","0","0.00"
"忿","0","0","0.00"
"怍","0","0","0.00"
"怒","0","0","0.00"
"怠","0","0","0.00"
"怡","0","0","0.00"
"急","0","0","0.00"
"性","0","0.0305","0.00"
"怨","0","0","0.00"
"怪","0","0","0.00"
"恂","0","0","0.00"
"恆","0","0","0.00"
"恐","0","0","0.00"
"恒","0","0","0.00"
"恕","0","0","0.00"
"恣","0","0","0.00"
"恥","0.0291","0","0.00"
"恩","0","0","0.00"
"恭","0","0","0.00"
"息","0","0","0.00"
"恶","0","0","0.00"
"悅","0","0.0534","0.00"
"悉","0","0","0.00"
"悔","0","0","0.00"
"悝","0","0","0.00"
"悠","0","0","0.00"
"患","0","0","0.00"
"悱","0","0","0.00"
"悲","0","0","0.00"
"悼","0","0","0.00"
"悾","0","0","0.00"
"情","0","0","0.00"
"惑","0.0359","0","0.00"
"惟","0","0","0.00"
"惠","0","0","0.00"
"惡","0","0","0.00"
"惰","0.0992","0","0.00"
"想","0","0","0.00"
"愆","0","0","0.00"
"愈","0","0","0.00"
"愉","0","0","0.00"
"意","0.0781","0","0.00"
"愚","0","0","0.00"
"愛","0","0","0.00"
"愬","0","0","0.00"
"愸","0","0","0.00"
"愿","0","0","0.00"
"慈","0","0","0.00"
"慍","0","0","0.00"
"慎","0","0","0.00"
"慕","0","0","0.00"
"慚","0","0","0.00"
"慝","0","0","0.00"
"慟","0","0","0.00"
"慢","0","0","0.00"
"慣","0","0","0.00"
"慧","0","0","0.00"
"慮","0","0","0.00"
"慰","0","0","0.00"
"慾","0","0","0.00"
"憂","0.0262","0","0.00"
"憎","0","0","0.00"
"憚","0.0658","0","0.00"
"憤","0","0","0.00"
"憮","0","0","0.00"
"憲","0","0.0390","0.00"
"憾","0","0","0.00"
"應","0","0","0.00"
"懌","0","0","0.00"
"懷","0","0","0.00"
"懸","0","0","0.00"
"懿","0","0","0.00"
"戈","0","0","0.00"
"戎","0","0","0.00"
"戏","0","0","0.00"
"我","0.0764","0","0.00"
"戒","0","0","0.00"
"戚","0","0","0.00"
"戟","0","0","0.00"
"戮","0","0","0.00"
"戰","0","0","0.00"
"戲","0","0","0.00"
"戴","0","0","0.00"
"戶","0","0","0.00"
"戾","0","0","0.00"
"房","0","0","0.00"
"手","0.0799","0","0.00"
"才","0.0447","0","0.00"
"扶","0","0","0.00"
"承","0","0","0.00"
"抑","0","0","0.00"
"抗","0","0","0.00"
"折","0","0","0.00"
"抵","0","0","0.00"
"拒","0","0","0.00"
"拔","0","0","0.00"
"拖","0","0","0.00"
"拘","0","0","0.00"
"拙","0","0","0.00"
"招","0","0","0.00"
"拜","0.100","0","0.00"
"括","0","0","0.00"
"拱","0","0","0.00"
"拾","0","0","0.00"
"持","0","0","0.00"
"指","0","0","0.00"
"按","0","0","0.00"
"捨","0","0","0.00"
"掃","0","0","0.00"
"授","0","0","0.00"
"掌","0","0","0.00"
"排","0","0","0.00"
"探","0","0","0.00"
"接","0","0","0.00"
"推","0","0","0.00"
"措","0","0","0.00"
"揖","0","0","0.00"
"揚","0","0","0.00"
"揩","0","0","0.00"
"揭","0","0","0.00"
"損","0","0","0.00"
"搖","0","0","0.00"
"摧","0","0","0.00"
"摯","0","0","0.00"
"撤","0","0","0.00"
"撥","0","0","0.00"
"撫","0","0","0.00"
"播","0","0","0.00"
"撰","0","0","0.00"
"擅","0","0","0.00"
"擇","0","0","0.00"
"擊","0","0","0.00"
"操","0","0","0.00"
"據","0","0","0.00"
"擯","0","0","0.00"
"擾","0","0","0.00"
"攅","0","0","0.00"
"攘","0","0","0.00"
"攝","0","0","0.00"
"攸","0","0","0.00"
"改","0.0706","0","0.00"
"攻","0","0","0.00"
"放","0","0","0.00"
"政","0","0","0.00"
"效","0","0","0.00"
"敏","0","0","0.00"
"救","0","0","0.00"
"敗","0","0","0.00"
"教","0","0.0199","0.00"
"敝","0.0658","0","0.00"
"敢","0.0168","0","0.00"
"散","0","0","0.00"
"敬","0","0.0153","0.00"
"敵","0","0","0.00"
"數","0","0","0.00"
"斂","0","0","0.00"
"斐","0","0","0.00"
"斗","0","0","0.00"
"料","0","0","0.00"
"斥","0","0","0.00"
"新","0","0","0.00"
"斷","0","0","0.00"
"方","0","0.0288","0.00"
"施","0","0.0199","0.00"
"旂","0","0","0.00"
"旄","0","0","0.00"
"旅","0","0","0.00"
"旍","0","0","0.00"
"族","0","0.0779","0.00"
"旗","0","0","0.00"
"无","0","0","0.00"
"日","0","0","0.00"
"旦","0","0","0.00"
"旨","0","0","0.00"
"早","0","0","0.00"
"时","0","0","0.00"
"旻","0","0","0.00"
"昆","0","0","0.00"
"昌","0","0","0.00"
"明","0","0.0258","0.00"
"易","0","0.0288","0.00"
"昔","0","0","0.00"
"星","0","0","0.00"
"春","0","0.0343","0.00"
"昨","0","0","0.00"
"昬","0","0","0.00"
"昭","0","0.0305","0.00"
"時","0","0.0398","0.00"
"晉","0","0","0.00"
"晏","0","0","0.00"
"晚","0","0","0.00"
"晝","0.0658","0","0.00"
"晨","0","0","0.00"
"景","0","0","0.00"
"晳","0","0","0.00"
"智","0","0","0.00"
"暇","0","0","0.00"
"暑","0","0","0.00"
"暮","0","0","0.00"
"暴","0","0","0.00"
"曆","0","0","0.00"
"曠","0","0","0.00"
"曰","0","0","0.00"
"曲","0","0","0.00"
"更","0","0","0.00"
"書","0","0.0221","0.00"
"曹","0","0","0.00"
"曾","0","0","0.00"
"最","0","0","0.00"
"會","0","0","0.00"
"月","0","0","0.00"
"有","0","0","0.00"
"朋","0","0","0.00"
"服","0","0","0.00"
"朔","0","0","0.00"
"朕","0","0","0.00"
"望","0","0","0.00"
"朝","0","0.0144","0.00"
"朞","0","0","0.00"
"期","0","0","0.00"
"木","0","0.0199","0.00"
"末","0.0893","0","0.00"
"本","0","0","0.00"
"朱","0","0","0.00"
"朽","0","0","0.00"
"杇","0","0","0.00"
"材","0","0","0.00"
"杖","0","0","0.00"
"杚","0","0","0.00"
"杞","0","0","0.00"
"束","0","0.0390","0.00"
"来","0","0","0.00"
"東","0","0.0273","0.00"
"松","0.0781","0","0.00"
"枉","0","0","0.00"
"析","0","0","0.00"
"枕","0","0","0.00"
"林","0","0","0.00"
"果","0","0","0.00"
"柏","0.0781","0","0.00"
"某","0","0","0.00"
"柔","0","0","0.00"
"柙","0","0","0.00"
"柰","0","0","0.00"
"柱","0","0","0.00"
"柳","0","0","0.00"
"柴","0","0","0.00"
"栖","0","0","0.00"
"栗","0","0","0.00"
"校","0","0","0.00"
"格","0","0","0.00"
"桀","0","0","0.00"
"桑","0","0","0.00"
"桓","0","0","0.00"
"桴","0","0","0.00"
"梁","0","0.0610","0.00"
"梲","0","0","0.00"
"棄","0","0","0.00"
"棖","0","0","0.00"
"棘","0","0","0.00"
"棣","0.0992","0","0.00"
"棲","0","0","0.00"
"棸","0","0","0.00"
"棺","0","0","0.00"
"椁","0","0","0.00"
"植","0","0","0.00"
"楊","0","0","0.00"
"楚","0","0","0.00"
"楛","0","0","0.00"
"業","0","0","0.00"
"極","0","0","0.00"
"楷","0","0","0.00"
"榮","0","0.0343","0.00"
"槨","0","0","0.00"
"樊","0","0","0.00"
"樹","0","0","0.00"
"橫","0","0","0.00"
"櫝","0","0","0.00"
"權","0.0570","0","0.00"
"次","0","0","0.00"
"欣","0","0","0.00"
"欬","0","0","0.00"
"欺","0.100","0","0.00"
"歌","0","0.0305","0.00"
"歎","0.0570","0","0.00"
"歛","0","0","0.00"
"歟","0","0","0.00"
"止","0.108","0","0.00"
"此","0","0","0.00"
"步","0","0","0.00"
"武","0","0.0773","0.00"
"歷","0","0","0.00"
"歸","0","0","0.00"
"死","0.0448","0","0.00"
"歾","0","0","0.00"
"殆","0","0.0273","0.00"
"殖","0","0","0.00"
"殘","0","0","0.00"
